RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE;POP.91
;;;;;;;;;;;
1;AFGHANISTAN;KABOUL;1803;35N;69E;4,30 ;372;-2,3;24,8;27,1;36762000
2;AFRIQUE DU SUD;PRETORIA;1400;26S;28E;2,00 ;746;21;10,3;-10,7;16600000
3;ALBANIE;TIRANA;89;41N;20E;1,00 ;1189;7,3;25;17,7;3303000
4;ALGERIE;ALGER;25;37N;3E;0,00 ;691;10,3;24,7;14,4;25798000
5;ALLEMAGNE ;BONN;64;51N;7E;1,00 ;550;1,5;18;16,5;79632000
6;ANDORRE;ANDORRE-LA-VIEILLE;1070;43N;2E;1,00 ;1100;2,5;19;16,5;50000
7;ANGOLA;LOANDA;70;9S;13E;1,00 ;367;25,9;20,2;-5,7;10301000
8;ANGUILLA;LA VALLEE;31;18N;63W;-5,00 ;1200;24;28;4;8000
9;ANTIGUA;SAINT-JOHN'S;10;17N;62W;-5,00 ;1200;24;29;5;80000
10;ANTILLES NEERLANDAISES;WILLEMSTAD;23;12N;69W;-4,00 ;625;25;27;2;257000
11;ARABIE SAOUDITE;AR RIYAD;609;25N;47E;3,00 ;82;16,1;40,1;24;15431000
12;ARGENTINE;BUENOS AIRES;25;35S;50W;-3,00 ;1027;23,7;10,6;-13,1;32646000
13;AUSTRALIE;CANBERRA;560;35S;149E;10,00 ;651;20,2;5,5;-14,7;3360000
14;AUTRICHE;VIENNE;212;48N;16E;1,00 ;660;-1,4;19,9;21,3;64000
15;BAHAMAS;NASSAU;10;25N;77W;-5,00 ;1216;20,3;27,4;7,1;17341000
16;BAHREIN;MANAMA;2;26N;51E;4,00 ;130;19;36;17;7730000
17;BANGLADESH;DACCA;7;24N;90E;6,00 ;2039;18,4;28,4;10;7219000
18;BARBADE;BRIDGETOWN;56;13N;60W;-5,00 ;1273;25,2;26,8;1,6;259000
19;BELGIQUE;BRUXELLES;16;51N;4E;1,00 ;785;2,2;17,5;15,3;518000
20;BELIZE;BELIZE CITY;5;18N;88W;-6,00 ;1648;23,5;27,6;4,1;108756000
21;BENIN;PORTO NOVO;13;6N;2E;1,00 ;1300;27,8;25,6;-2,2;258000
22;BERMUDES;MANILTON;46;32N;65W;-4,00 ;1463;17,2;26,1;8,9;10328000
23;BHOUTAN;THIMPHU-PUNAKHA;1381;27N;90E;5,30 ;1422;13;23;10;9968000
24;BIRMANIE;RANGOON;23;17N;96E;6,30 ;2618;24,8;26,6;1,8;193000
25;BOLIVIE;LA PAZ-SUCRE;3658;17S;65W;-4,00 ;574;11,7;8,3;-3,4;4883000
26;BOTSWANA;GABORONE;1006;22S;24E;2,00 ;538;26,1;12,8;-13,3;58000
27;BRESIL;BRASILIA;1161;16S;48W;-4,00 ;1600;22,2;17,4;-4,8;1467000
28;BRUNEI;BANDAR SERI;3;5N;115E;7,30 ;3275;26,7;27,8;1,1;42528000
29;BULGARIE;SOFIA;588;43N;23E;2,00 ;622;-1,7;21,3;23;7356000
30;BURKINA FASO;OUADAGOUDOU;314;12N;2W;0,00 ;849;25,4;26,9;1,5;4500000
31;BURUNDI;BUJUMBURA;783;3S;29E;2,00 ;825;22,8;22,8;0;1289000
32;CAIMANS;GEORGETOWN;1;19N;81W;-5,00 ;1400;24;27;3;153164000
33;CAMEROUN;YAOUNDE;760;4N;12E;1,00 ;1547;24,1;22,2;-1,9;264000
34;CANADA;OTTAWA;126;45N;75W;-5,00 ;851;-10,9;20,7;31,6;8798000
35;CAP-VERT;PRAIA;28;18N;25W;0,00 ;250;22,2;25;2,8;9271000
36;CENTRAFRIQUE;BANGUI;381;4N;19E;1,00 ;1560;25,9;25,1;-0,8;5600000
37;CHILI;SANTIAGO;520;33S;71W;-4,00 ;375;19,5;8;-11,5;18000
38;CHINE;PEKIN;38;40N;116E;8,00 ;623;-5;26;31;8660000
39;CHYPRE;NICOSIE;217;35N;33E;2,00 ;339;10,6;28,1;17,5;12081000
40;COLOMBIE;BOGOTA;2546;5N;72W;-5,00 ;1610;14;13;-1;26756000
41;COMORES;MORONI;17;12S;43E;3,00 ;2500;27;23;-4;383000
42;CONGO;BRAZZAVILLE;314;4S;15E;1,00 ;1371;25,6;21,7;-3,9;3113000
43;COOK;AVARUA;2;20S;160W;-10,30 ;2481;25;27;2;13360000
44;COREE DU NORD;PYONGYANG;30;40N;127E;9,00 ;916;-7,8;23,9;31,7;1150091000
45;COREE DU SUD;SEOUL;87;37N;127E;9,00 ;1250;-5;25;30;708000
46;COSTA RICA;SAN JOSE;1158;10N;84W;-6,00 ;1944;19;20,6;1,6;32873000
47;COTE D'IVOIRE;YAMOUSSOUKRO;7;6N;6W;0,00 ;2144;26,7;25,1;-1,6;492000
48;CUBA;LA HAVANE;64;21N;80W;-5,00 ;1224;22;28;6;2351000
49;DANEMARK;COPENHAGUE;13;56N;10E;1,00 ;602;0,1;17,8;17,7;38473000
50;DJIBOUTI;DJIBOUTI;9;12N;43E;3,00 ;133;25,1;34,2;9,1;18000
51;DOMINICAINE;SAINT-DOMINGUE;14;18N;70W;-5,00 ;1400;23,9;27,2;3,3;21947000
52;DOMINIQUE;ROSEAU;24;15N;61W;-5,00 ;1900;23;27;4;43177000
53;EGYPTE;LE CAIRE;24;30N;32E;2,00 ;22;14;28,9;14,9;2875000
54;EMIRATS ARABES UNIS;ABU DHABI;15;24N;54E;4,00 ;60;23,4;42,3;18,9;12331000
55;EQUATEUR;QUITO;2812;0;78W;-5,00 ;1233;13;12,9;-0,1;4800000
56;ESPAGNE;MADRID;657;40N;4W;1,00 ;436;4,9;24,2;19,3;10712000
57;ETATS-UNIS;WASHINGTON;20;39N;77W;-5,00 ;1036;2,7;25,7;23;5143000
